DATE,SITE,EXCAVATION,HOABINHIAN,FLAKE_TYPE,MASS__G_,MAX_LENGTH,BLOCK_LENG,PERC_LENTH,PROX_WIDTH,MED_WIDTH_,DIST_WIDTH,PROX_THICK,MED_THICKN,DISTALNESS,DIST_THICK,DISTALNES2,PLAT_WIDTH,PLAT_THICK,INT_PLAT_A,EXT_PLAT_A,PLAT_SURFA,OVERHANG_R,INITIATION,BULB_OF_PE,ERAILURE_S,TERMINATIO,RAW_MATERI,DORSAL_COR,PLATFORM_C,DORSAL_SCA,PARALLEL_S,DORSAL_TER,ABERRANT_T,ROTATIONS,CORTEX_LOC,PLAT_PREPA,NON_PLAT_C,LONGEST_FA,FS1_LENGTH,FS1_PROX_W,FS1_MED_WI,FS1_DIST_W,FS1_PLAT_A,FS1_TERMIN,FS2_LENGTH,FS2_PROX_W,FS2_MED_WI,FS2_DIST_W,FS2_PLAT_A,FS2_TERMIN,FS3_LENGTH,FS3_PROX_W,FS3_MED__W,FS3_DIST_W,FS3_PLAT_A,FS3_TERMIN,FS4_LENGTH,FS4_PROX_W,FS4_MED_WI,FS4_DIST_W,FS4_PLAT_A,FS4_TERMIN,FS5_LENGTH,FS5_PROX_W,FS5_MED_WI,FS5_DIST_W,FS5_PLAT_A,FS5_TERMIN,SQUARE,HAPP_BAG,ARTEFACT_C,S1_INVAS,S1_ANGLE,S2_INVAS,S2_ANGLE,S3_INVAS,S3_ANGLE,S4_INVAS,S4_ANGLE,S5_INVAS,S5_ANGLE,S6_INVAS,S6_ANGLE,S7_INVAS,S7_ANGLE,S8_INVAS,S9_INVAS,S9_ANGLE,S10_INVAS,S10_ANGLE,S12_INVAS,S12_ANGLE,S14_INVAS,S14_ANGLE,S16_INVAS,S16_ANGLE,S15_INVAS,S15_ANGLE,S13_INVAS,S13_ANGLE,S11_INVAS,S11_ANGLE,S8_ANGLE,S1_DEPTH,S2_DEPTH,S3_DEPTH,S4_DEPTH,S5_DEPTH,S6_DEPTH,S7_DEPTH,S8_DEPTH,S9_DEPTH,S10_DEPTH,S11_DEPTH,S12_DEPTH,S13_DEPTH,S14_DEPTH,S15_DEPTH,S16_DEPTH,RETOUCH1_L,RETOUCH2_L,RETOUCH3_L,TOTAL_PERI,R6_DEPTH_O,R3_RETOUCH,SCARS,TERMINATI2,RECENT_DAM,NON_CONCHO,HAPP_ARTEF,COMMENTS__,S1_T1,S1_T2,S2_T1,S2_T2,S4_T1,S4_T2,S6_T1,S6_T2,S8_T1,S8_T2,S7_T1,S7_T2,S5_T1,S5_T2,S3_T1,S3_T2,S9_T1,S9_T2,S10_T1,S10_T2,S12_T1,S12_T2,S14_T1,S14_T2,S16_T1,S16_T2,S15_T1,S15_T2,S13_T1,S13_T2,S11_T1,S11_T2
20050224,Tham Lod,30-31,,Complete,36.70,27.22,24.30,24.30,30.96,33.50,27.71,9.04,6.91,17.85,2.40,,26.26,8.30,70.00,100.00,Cortical,Absent,Herztian,Diffuse,Absent,Feather,Ind mudst,80.00,100.00,1.00,0.00,1.00,0.00,0.00,2a (crsL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10neq1,sampling,Broken Cbl,,,,,,,,30.00,,60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,30-31,,,12.20,,,,,,,,,,,,,,,,,,,,,,Shale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10neq1,sampling,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,30-31,,,19.10,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10neq1,sampling,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,30-31,,,753.40,,,37.15,169.49,161.84,147.01,64.66,61.05,17.85,52.62,,162.96,78.89,,,,,,,,,Quartzite,,100.00,,0.00,,0.00,0.00,,Absent,90,25.00,20.30,12.00,10.00,8.00,90.00,Feather,,,,,,,,,,,,,,,,,,,,,,,,,s23w10neq1,sampling,Core,,,1.00,70.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.33,,,,,,,,,,,,,,,40.50,,,450.00,,,1.00,1.00,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,31,,,14.00,,,,,,,,,,,,,,,,,,,,,,Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq1,sampling,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,2953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,31,,,12.40,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq1,sampling,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,2936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,31,,,20.80,,,,,,,,,,,,,,,,,,,,,,Red Sandst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq1,sampling,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,2958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,31,,,53.32,,,,,,,,,,,,,,,,,,,,,,hi-q qtzt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq1,sampling,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,2954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,31,,Complete,45.80,49.67,50.38,46.88,54.38,61.57,42.89,13.32,11.97,26.43,6.26,,34.98,11.57,70.00,120.00,1 scar,Absent,Herztian,Diffuse,Present,Feather,Quartzite,100.00,70.00,0.00,0.00,0.00,0.00,0.00,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq1,sampling,Flake,,,,,,,,30.00,,30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,2952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,31,,,26.56,,,,,,,,,,,,,,,,,,,,,,Quartzite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq1,sampling,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,1630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,31,,,14.07,,,,,,,,,,,,,,,,,,,,,,hi-q qtzt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq1,sampling,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,2951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,31,,,43.70,,,,,,,,,,,,,,,,,,,,,,hi-q qtzt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23w10nwq1,sampling,Broken Cbl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,2943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20050224,Tham Lod,31,,,102.32,,,89.39,44.47,45.23,39.75,10.52,16.05,19.13,17.40,,5.34,2.10,,,,,,,,,Ind mudst,,0.00,,2.00,,2.00,1.00,,OHR,70,48.68,48.76,37.15,26.89,14.89,40.00,Feather,13.22,11.25,20.79,28.08,40.00,Step,10.43,10.43,17.09,24.61,40.00,Step,,,,,,,,,,,,,s23w10nwq3,sampling,Core,1.00,40.00,1.00,40.00,,,,,,,,,,,,0.50,30.00,,,,,,,,,,,,,,,,48.70,,,,,,,,13.53,,,,,,,,60.00,,,225.00,19.63,44.85,3.00,3.00,No,Absent,2972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
