Site,Square,AU,Spit,Group,Artno,Material,Colour,Weight,Length,Artclas,Cortex,Cortype,Initiat,Breaks,Noseg,Platwid,Plat,Focal,Overhang,NoDS,NoPS,Rtch,Plat_2,Focal_2,Overhang_2,NoDS_2,NoPS_2,Rtch_2,RetOri,Retype,Retloc,Retlen,Retdep,Portion,Heat,EdgeDam,Weathering,Corerot,RetScNo,Term,Janus,Recycled,Redirect,Usewear?,Width,Thick,Platthic,area,elongation,,,,
J,B,1,1,1,1,Chert,Brown,1.83,22.03,Flake,0,,Hertz,,,20.31,2-scars,,Yes,5,2,,2-scars,,Yes,5,2,,,,,,,,,,,,,Feather,,,,,20.37,3.34,2,448.7511,1.081492391,,,,46
J,B,1,1,1,2,Chert,Yellow,0.61,14.59,RetF,0,,Hertz,,3,10.97,3-scars,,Yes,5,3,Yes,3-scars,,Yes,5,3,Yes,Both,Percus,Rlat,10.75,3.04,,,,,,3,Feather,,,,,19.11,2.74,1.62,278.8149,0.763474621,,,,
J,B,1,1,1,3,Chert,Dk Grey,3.81,29.59,Core,0,,,,,,,,,10,,,,,,10,,,,,,,,,1,,1,4,,,,,,,11.58,7.25,,342.6522,2.555267703,,,,
J,B,1,1,1,4,Chert,Grey,0.13,5.83,RetFrag,0,,,Both,1,,,,,2,,Yes,,,,2,,Yes,V-D,Press,Dist,2.05,2.04,Dist,,,,,1,Retouched,,,,,6.54,2.05,,38.1282,0.891437309,,,,
J,B,1,1,1,5,Chert,Grey,0.05,7.07,Flake,0,,Hertz,,,6.05,2-scars,,Yes,3,2,,2-scars,,Yes,3,2,,,,,,,,,1,,,,Feather,,,,,6.56,1.13,1.63,46.3792,1.077743902,,,,
J,B,1,1,1,6,Chert,Lt Brown,0.58,11.13,Core,,,,,,,,,,11,,,,,,11,,,,,,,,,,,,4,,,,,,,12.69,4.79,,141.2397,0.877068558,,,,
J,B,1,1,1,7,Chert,Dk Brown,0.03,5.72,Flake,0,,Hertz,,,2.91,Single,,No,3,1,,Single,,No,3,1,,,,,,,,,,,,,Feather,,,,,4.28,1.16,0.69,24.4816,1.336448598,,,,
J,B,1,1,1,8,Chert,Cream,0.02,8.37,FFrag,0,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,4.98,1.09,,41.6826,1.680722892,,,,
J,B,1,1,1,9,Chert,Grey,0.21,10.7,Flake-b,0,,Hertz,Long,,,Focal,,No,3,,,Focal,,No,3,,,,,,,,Rlat,,,,,,Feather,,,,,5.2,3.91,,55.64,2.057692308,,,,
J,B,1,1,1,10,Chert,Grey,0.25,14.27,Flake,0,,Hertz,,,3.78,Single,,Yes,5,1,,Single,,Yes,5,1,,,,,,,,,,,,,Feather,,,,,6.07,3.13,2.01,86.6189,2.350906096,,,,
J,B,1,1,1,11,Chert,Brown,0.33,11.23,Flake,0,,Hertz,,,6.31,Single,,Yes,4,1,,Single,,Yes,4,1,,,,,,,,,,,,,Feather,,,,,10.96,2.65,1.44,123.0808,1.024635036,,,,
J,B,1,1,1,12,Chert,Grey,0.11,10.68,Flake-b,0,,Hertz,Long,,,Partcoll,,Yes,4,,,Partcoll,,Yes,4,,,,,,,,Llat,,,,,,Feather,,,,,5.06,1.6,,54.0408,2.110671937,,,,
J,B,1,1,1,13,Chert,Grey,0.08,5,RetFrag,0,,,Trans,1,,,,,2,,Yes,,,,2,,Yes,V-D,Press,Llat,1.94,1.38,Med,,,,,1,,,,,,4.84,2.35,,24.2,1.033057851,,,,
J,B,1,1,1,14,Chert,Dk Brown,0.15,5.83,RetF,0,,Hertz,,2,2.62,Single,,No,5,1,Yes,Single,,No,5,1,Yes,Both,Percus,Dist,3.1,3.14,,,,,,2,Retouched,,,,,6.4,2.3,1.3,37.312,0.9109375,,,,
J,B,1,1,1,15,Volcanic,Grey,1.07,6.36,Flake-b,20,Angul,Hertz,Long,,18.18,Single,,No,1,1,,Single,,No,1,1,,,,,,,Llat,,,,,,Feather,,,,,18.76,6.56,6.6,119.3136,0.33901919,,,,
J,B,1,1,1,16,Chert,Cream,0.18,8.6,FFrag,,,,Both,,,,,,3,,,,,,3,,,,,,,,Dist,,,,,,Feather,,,,,4.67,2.72,,40.162,1.841541756,,,,
J,B,1,1,1,17,Chert,Red,0.1,9.7,RetF,0,,,,1,,Focal,,,5,,Yes,Focal,,,5,,Yes,V-D,Percus,Llat,3.97,2.02,,,,,,1,Feather,,,,,4.97,2.44,,48.209,1.951710262,,,,
J,B,1,1,1,18,Chert,Lt Brown,0.03,3.58,Flake,0,,Hertz,,,,Focal,,Yes,3,,,Focal,,Yes,3,,,,,,,,,,,,,,Feather,,,,,8.37,1.45,,29.9646,0.427718041,,,,
J,B,1,1,1,19,Chert,Red,0.02,4.79,Flake,0,,Hertz,Trans,,5.25,Single,,No,5,1,,Single,,No,5,1,,,,,,,Dist,,,,,,Feather,,,,,4.07,1.03,1.28,19.4953,1.176904177,,,,
J,B,1,1,1,20,Chert,Grey,0.01,3.29,Flake,0,,Hertz,,,5.98,Single,,Yes,1,1,,Single,,Yes,1,1,,,,,,,,,,,,,Hinge,,,,,6.29,1.04,1.07,20.6941,0.523052464,,,,
J,B,1,1,1,21,Chert,Brown,0.06,6.02,Flake,0,,Hertz,,,,Focal,,Yes,5,,,Focal,,Yes,5,,,,,,,,,,1,,,,Feather,,,,,6.98,1.44,,42.0196,0.862464183,,,,
J,B,1,1,1,22,Chert,Pink,0.01,3.51,Flake,0,,Hertz,,,5.62,Single,,Yes,2,1,,Single,,Yes,2,1,,,,,,,,,,,,,Feather,,,,,5.68,1.01,1.35,19.9368,0.617957746,,,,
J,B,1,1,1,23,Chert,Grey,0.11,5.65,Flake,0,,Hertz,,,,Focal,,Yes,2,,,Focal,,Yes,2,,,,,,,,,,,,,,Hinge,,,,,8.18,1.65,,46.217,0.690709046,,,,
J,B,1,1,1,24,Chert,Pink,0.18,8.89,RetF-b,0,,Hertz,,2,2.16,Mult,,No,4,3,Yes,Mult,,No,4,3,Yes,D-V,Percus,Bothlats,4.8,2.36,,,,,,2,Feather,,,,,6.02,2.25,2.35,53.5178,1.476744186,,,,
J,B,1,1,1,25,Chert,Grey,0.04,5.52,FFrag,0,,,Both,,,,,,2,,,,,,2,,,,,,,,Dist,,,,,,Feather,,,,,4.43,1.02,,24.4536,1.246049661,,,,
J,B,1,1,1,26,Chert,Grey,0.43,9.95,Flake,0,,Hertz,,,6.84,2-scars,,Yes,6,2,,2-scars,,Yes,6,2,,,,,,,,,,,,,Step,,,,,11.45,2.55,3.11,113.9275,0.868995633,,,,
J,B,1,1,1,27,Chert,Cream,0.18,6.96,Flake,0,,Hertz,,,5.86,Single,,No,5,1,,Single,,No,5,1,,,,,,,,,,,,,Feather,,,,,7.25,3.04,3.08,50.46,0.96,,,,
J,B,1,1,1,28,Chert,Grey,0.12,8.3,Flake,0,,Hertz,,,3.33,Single,,No,3,1,,Single,,No,3,1,,,,,,,,,,,,,Feather,,,,,5.11,3.22,1.87,42.413,1.624266145,,,,
J,B,1,1,1,29,Chert,Grey,0.23,11.68,Flake,0,,Hertz,,,4.14,2-scars,,Yes,5,2,,2-scars,,Yes,5,2,,,,,,,,,,,,,Feather,,,,,6.36,2.18,1.67,74.2848,1.836477987,,,,
J,B,1,1,1,30,Chert,Beige,0.08,9,Flake,0,,Hertz,,,,Focal,,Yes,5,,,Focal,,Yes,5,,,,,,,,,,,,,,Feather,,,,,5.95,1.52,,53.55,1.512605042,,,,
J,B,1,1,1,31,Chert,Grey,0.03,5.56,Flake,0,,Hertz,,,5.85,3-scars,,Yes,2,3,,3-scars,,Yes,2,3,,,,,,,,,,,,,Feather,,,,,5.63,1.53,1.8,31.3028,0.987566607,,,,
J,B,1,1,1,32,Chert,Grey,0.02,1.96,Flake,0,,Hertz,,,5.82,Single,,No,3,1,,Single,,No,3,1,,,,,,,,,,,,,Feather,,,,,5.49,2.21,2.15,10.7604,0.35701275,,,,
J,B,1,1,1,33,Volcanic,Brown,0.23,8.5,Flake,0,,Bending,,,7.91,2-scars,,Yes,2,2,,2-scars,,Yes,2,2,,,,,,,,,,,,,Step,,,,,7.09,2.7,4.51,60.265,1.19887165,,,,
J,B,1,1,1,34,Chert,Yellow,0.05,6.95,Flake-b,0,,Hertz,Long,,5.45,Single,,No,4,1,,Single,,No,4,1,,,,,,,Rlat,,,,,,Feather,,,,,4.93,1.64,1.47,34.2635,1.409736308,,,,
J,B,1,1,1,35,Chert,Grey,0.04,6.1,Flake,0,,Hertz,,,,Focal,,Yes,3,,,Focal,,Yes,3,,,,,,,,,,,,,,Feather,,,,,4.7,1.55,,28.67,1.29787234,,,,
J,B,1,1,1,36,Chert,Grey,0.11,7.19,Flake,0,,Hertz,,,7.89,3-scars,,Yes,3,3,,3-scars,,Yes,3,3,,,,,,,,,,,,,Hinge,,,,,8.8,1.41,0.84,63.272,0.817045455,,,,
J,B,1,1,1,37,Chert,Grey,0.03,4.76,Flake,0,,Hertz,,,,Partcoll,,Yes,3,,,Partcoll,,Yes,3,,,,,,,,,,1,,,,Feather,,,,,6.98,1.41,,33.2248,0.681948424,,,,
